Date,Temperature_Min,Temperature_Max,Temperature_Avg,Humidity,Rainfall,Season
2022-02-01,17.9,25.7,21.8,60.3,0.0,Winter
2022-02-02,15.3,27.8,21.6,57.8,0.0,Winter
2022-02-03,10.2,23.7,17.0,57.5,0.0,Winter
2022-02-04,12.8,27.0,19.9,58.0,0.0,Winter
2022-02-05,14.3,29.1,21.7,56.1,0.0,Winter
2022-02-06,15.4,22.9,19.2,56.6,0.0,Winter
2022-02-07,14.3,22.6,18.4,63.3,0.0,Winter
2022-02-08,11.2,28.2,19.7,51.9,0.0,Winter
2022-02-09,15.0,22.9,18.9,66.8,0.4,Winter
2022-02-10,16.1,29.1,22.6,66.4,0.0,Winter
2022-02-11,14.2,25.3,19.7,70.0,0.0,Winter
2022-02-12,12.8,24.4,18.6,68.6,0.0,Winter
2022-02-13,17.9,27.0,22.4,66.0,0.0,Winter
2022-02-14,15.2,23.8,19.5,61.5,0.0,Winter
2022-02-15,14.5,29.9,22.2,57.9,0.0,Winter
2022-02-16,11.7,26.6,19.2,60.1,0.0,Winter
2022-02-17,15.6,29.6,22.6,54.8,0.0,Winter
2022-02-18,10.3,29.7,20.0,56.9,0.0,Winter
2022-02-19,10.9,22.6,16.7,62.9,0.0,Winter
2022-02-20,17.3,23.0,20.2,54.3,0.0,Winter
2022-02-21,17.1,24.4,20.7,55.9,0.0,Winter
2022-02-22,17.7,27.5,22.6,51.5,0.0,Winter
2022-02-23,16.5,26.0,21.2,61.2,0.0,Winter
2022-02-24,15.9,26.7,21.3,50.1,0.0,Winter
2022-02-25,16.1,22.3,19.2,68.4,0.0,Winter
2022-02-26,14.5,22.2,18.4,67.0,0.0,Winter
2022-02-27,10.7,22.6,16.7,53.2,0.0,Winter
2022-02-28,12.2,29.1,20.7,58.8,0.0,Winter
2022-03-01,25.2,44.6,34.9,39.3,0.0,Summer
2022-03-02,31.6,38.9,35.2,44.1,0.0,Summer
2022-03-03,27.4,44.3,35.9,33.9,0.0,Summer
2022-03-04,31.8,40.1,36.0,43.7,0.0,Summer
2022-03-05,31.7,38.9,35.3,43.6,0.9,Summer
2022-03-06,30.2,35.4,32.8,34.5,0.0,Summer
2022-03-07,30.9,36.9,33.9,33.6,0.0,Summer
2022-03-08,25.1,43.5,34.3,44.8,0.0,Summer
2022-03-09,28.8,35.5,32.2,30.4,0.0,Summer
2022-03-10,25.5,42.6,34.1,38.7,0.0,Summer
2022-03-11,29.0,43.8,36.4,46.3,0.0,Summer
2022-03-12,25.7,43.9,34.8,35.0,0.0,Summer
2022-03-13,29.6,35.8,32.7,42.0,0.0,Summer
2022-03-14,30.4,41.9,36.2,40.8,2.8,Summer
2022-03-15,30.9,41.8,36.3,44.0,0.0,Summer
2022-03-16,31.0,40.4,35.7,33.5,0.0,Summer
2022-03-17,25.5,40.8,33.1,32.2,0.0,Summer
2022-03-18,29.1,42.7,35.9,41.4,0.0,Summer
2022-03-19,26.1,36.2,31.2,30.1,0.0,Summer
2022-03-20,29.0,42.5,35.7,33.4,0.0,Summer
2022-03-21,30.9,44.7,37.8,34.2,0.0,Summer
2022-03-22,28.3,37.5,32.9,34.0,0.0,Summer
2022-03-23,31.2,43.1,37.1,38.7,4.6,Summer
2022-03-24,29.4,37.9,33.7,41.3,0.0,Summer
2022-03-25,29.9,37.5,33.7,42.6,0.0,Summer
2022-03-26,31.6,39.3,35.4,41.8,9.4,Summer
2022-03-27,27.7,36.3,32.0,37.5,0.0,Summer
2022-03-28,29.4,35.4,32.4,45.8,0.0,Summer
2022-03-29,27.3,41.3,34.3,32.1,0.0,Summer
2022-03-30,31.7,43.7,37.7,42.8,0.0,Summer
2022-03-31,31.1,42.2,36.6,43.8,0.0,Summer
2022-04-01,26.2,37.7,32.0,35.1,0.0,Summer
2022-04-02,28.5,36.8,32.6,35.9,0.0,Summer
2022-04-03,31.8,36.6,34.2,41.2,0.0,Summer
2022-04-04,31.6,43.3,37.5,37.5,0.0,Summer
2022-04-05,25.6,41.4,33.5,39.1,0.0,Summer
2022-04-06,31.1,36.1,33.6,46.1,0.0,Summer
2022-04-07,27.3,40.2,33.8,39.6,0.0,Summer
2022-04-08,31.4,35.3,33.4,45.9,0.0,Summer
2022-04-09,26.6,42.0,34.3,49.1,0.0,Summer
2022-04-10,30.6,38.8,34.7,38.8,0.0,Summer
2022-04-11,30.0,40.4,35.2,30.6,8.6,Summer
2022-04-12,32.0,44.2,38.1,48.1,0.0,Summer
2022-04-13,26.1,36.6,31.3,47.5,0.0,Summer
2022-04-14,30.3,42.1,36.2,30.3,0.5,Summer
2022-04-15,26.1,36.1,31.1,48.9,0.0,Summer
2022-04-16,27.3,38.3,32.8,40.8,0.7,Summer
2022-04-17,25.7,41.3,33.5,34.8,0.0,Summer
2022-04-18,30.5,40.1,35.3,40.7,0.0,Summer
2022-04-19,31.1,45.0,38.1,31.5,0.0,Summer
2022-04-20,26.2,39.7,32.9,42.7,0.0,Summer
2022-04-21,26.3,36.6,31.4,40.5,4.9,Summer
2022-04-22,30.7,40.8,35.7,49.2,0.0,Summer
2022-04-23,30.4,43.0,36.7,44.9,0.0,Summer
2022-04-24,31.1,44.6,37.8,36.4,0.0,Summer
2022-04-25,28.5,41.2,34.8,36.1,6.9,Summer
2022-04-26,25.8,42.4,34.1,49.1,0.0,Summer
2022-04-27,30.0,36.4,33.2,36.5,0.0,Summer
2022-04-28,25.5,44.8,35.2,49.3,0.0,Summer
2022-04-29,30.0,38.7,34.4,43.1,0.0,Summer
2022-04-30,29.9,43.5,36.7,35.2,0.0,Summer
2022-05-01,30.2,40.1,35.1,47.2,0.0,Summer
2022-05-02,29.3,37.9,33.6,32.3,0.0,Summer
2022-05-03,30.6,38.7,34.7,47.3,0.0,Summer
2022-05-04,28.6,43.9,36.3,30.8,0.0,Summer
2022-05-05,25.3,39.5,32.4,43.5,0.0,Summer
2022-05-06,25.9,43.0,34.5,31.1,0.6,Summer
2022-05-07,27.6,36.2,31.9,46.4,3.6,Summer
2022-05-08,31.8,38.4,35.1,35.3,0.0,Summer
2022-05-09,28.8,36.9,32.8,31.2,0.0,Summer
2022-05-10,28.8,38.0,33.4,47.5,0.0,Summer
2022-05-11,29.6,42.5,36.1,33.4,0.0,Summer
2022-05-12,31.7,42.7,37.2,42.8,0.0,Summer
2022-05-13,26.0,37.4,31.7,46.8,0.0,Summer
2022-05-14,30.3,35.8,33.1,39.5,0.0,Summer
2022-05-15,27.9,35.7,31.8,34.8,0.0,Summer
2022-05-16,25.4,35.2,30.3,39.1,0.0,Summer
2022-05-17,30.3,41.6,36.0,31.2,5.3,Summer
2022-05-18,28.2,36.7,32.4,41.5,0.0,Summer
2022-05-19,29.6,40.9,35.3,49.4,4.2,Summer
2022-05-20,31.8,41.6,36.7,41.8,0.0,Summer
2022-05-21,29.5,38.8,34.2,39.6,10.0,Summer
2022-05-22,30.3,36.9,33.6,40.5,1.2,Summer
2022-05-23,26.8,40.5,33.6,35.3,0.0,Summer
2022-05-24,26.6,35.7,31.2,32.2,0.0,Summer
2022-05-25,30.3,40.6,35.4,37.3,0.0,Summer
2022-05-26,31.9,43.3,37.6,45.9,0.0,Summer
2022-05-27,27.0,41.6,34.3,43.3,0.0,Summer
2022-05-28,28.4,41.4,34.9,33.4,0.0,Summer
2022-05-29,27.0,38.0,32.5,39.9,0.0,Summer
2022-05-30,29.3,42.8,36.0,40.1,0.0,Summer
2022-05-31,29.2,39.9,34.5,31.8,5.2,Summer
2022-06-01,22.3,30.7,26.5,85.2,0.0,Monsoon
2022-06-02,26.7,31.2,28.9,70.7,100.4,Monsoon
2022-06-03,23.7,32.3,28.0,87.8,77.3,Monsoon
2022-06-04,27.5,30.0,28.8,74.3,43.4,Monsoon
2022-06-05,24.5,31.0,27.7,92.7,123.1,Monsoon
2022-06-06,24.3,31.3,27.8,94.7,73.2,Monsoon
2022-06-07,27.4,30.1,28.8,81.5,0.0,Monsoon
2022-06-08,26.1,28.6,27.4,81.8,105.3,Monsoon
2022-06-09,22.0,31.7,26.8,89.5,139.5,Monsoon
2022-06-10,26.1,33.4,29.8,78.5,0.0,Monsoon
2022-06-11,22.9,30.0,26.4,93.3,44.3,Monsoon
2022-06-12,22.5,34.8,28.6,88.3,88.2,Monsoon
2022-06-13,25.6,30.6,28.1,84.3,45.3,Monsoon
2022-06-14,26.5,29.7,28.1,79.6,36.0,Monsoon
2022-06-15,23.9,34.0,28.9,90.3,8.9,Monsoon
2022-06-16,23.2,31.1,27.1,77.3,131.8,Monsoon
2022-06-17,25.7,31.5,28.6,72.2,99.5,Monsoon
2022-06-18,26.1,28.3,27.2,91.7,53.4,Monsoon
2022-06-19,24.1,29.7,26.9,80.7,13.9,Monsoon
2022-06-20,25.4,31.9,28.6,93.8,0.0,Monsoon
2022-06-21,25.5,31.9,28.7,91.5,42.9,Monsoon
2022-06-22,22.7,30.6,26.7,86.2,19.9,Monsoon
2022-06-23,23.4,28.5,25.9,87.1,47.2,Monsoon
2022-06-24,25.7,32.5,29.1,71.8,60.7,Monsoon
2022-06-25,24.1,29.6,26.9,92.1,128.9,Monsoon
2022-06-26,23.5,29.0,26.3,94.5,0.0,Monsoon
2022-06-27,25.9,28.1,27.0,86.5,14.3,Monsoon
2022-06-28,25.1,32.5,28.8,78.5,66.5,Monsoon
2022-06-29,22.6,28.5,25.6,79.3,124.3,Monsoon
2022-06-30,25.2,31.5,28.3,84.4,109.3,Monsoon
2022-07-01,25.4,29.8,27.6,82.3,41.5,Monsoon
2022-07-02,22.7,28.3,25.5,83.8,132.2,Monsoon
2022-07-03,23.1,28.8,26.0,91.4,0.0,Monsoon
2022-07-04,23.2,29.9,26.5,76.4,127.6,Monsoon
2022-07-05,22.1,34.4,28.2,78.1,59.9,Monsoon
2022-07-06,22.3,29.6,26.0,89.2,49.5,Monsoon
2022-07-07,26.4,29.8,28.1,90.5,72.5,Monsoon
2022-07-08,25.7,31.9,28.8,73.9,114.0,Monsoon
2022-07-09,25.0,33.7,29.3,79.0,0.0,Monsoon
2022-07-10,23.2,31.2,27.2,84.1,0.0,Monsoon
2022-07-11,23.6,32.1,27.8,84.6,35.6,Monsoon
2022-07-12,24.7,32.2,28.4,78.7,0.0,Monsoon
2022-07-13,24.2,29.8,27.0,87.1,0.0,Monsoon
2022-07-14,22.9,32.9,27.9,75.5,0.0,Monsoon
2022-07-15,22.2,29.5,25.8,88.3,104.8,Monsoon
2022-07-16,26.1,31.6,28.9,86.1,0.0,Monsoon
2022-07-17,25.5,33.8,29.7,82.9,112.4,Monsoon
2022-07-18,22.3,33.9,28.1,73.6,0.0,Monsoon
2022-07-19,24.9,28.1,26.5,94.1,126.2,Monsoon
2022-07-20,22.2,31.5,26.8,92.9,39.6,Monsoon
2022-07-21,24.1,33.5,28.8,95.0,103.9,Monsoon
2022-07-22,27.0,34.6,30.8,91.6,14.9,Monsoon
2022-07-23,27.9,29.8,28.8,71.0,18.8,Monsoon
2022-07-24,27.4,34.9,31.2,70.1,91.0,Monsoon
2022-07-25,26.2,29.9,28.1,94.4,93.5,Monsoon
2022-07-26,22.5,31.9,27.2,88.9,71.4,Monsoon
2022-07-27,24.8,33.5,29.1,89.8,66.2,Monsoon
2022-07-28,22.6,28.6,25.6,80.2,65.6,Monsoon
2022-07-29,23.1,32.6,27.8,86.1,130.0,Monsoon
2022-07-30,23.4,32.3,27.8,70.8,54.8,Monsoon
2022-07-31,25.9,32.2,29.1,78.9,95.1,Monsoon
2022-08-01,23.3,32.5,27.9,88.6,68.2,Monsoon
2022-08-02,22.5,33.7,28.1,93.2,40.5,Monsoon
2022-08-03,25.2,34.5,29.9,72.6,0.0,Monsoon
2022-08-04,25.4,30.3,27.9,77.6,134.3,Monsoon
2022-08-05,24.6,33.3,29.0,76.9,0.0,Monsoon
2022-08-06,26.1,31.8,29.0,85.5,0.0,Monsoon
2022-08-07,27.9,29.9,28.9,88.8,82.5,Monsoon
2022-08-08,26.9,34.8,30.8,77.9,102.1,Monsoon
2022-08-09,26.5,29.3,27.9,83.9,0.0,Monsoon
2022-08-10,24.0,30.8,27.4,88.7,0.0,Monsoon
2022-08-11,23.4,34.9,29.2,90.0,106.5,Monsoon
2022-08-12,23.8,32.3,28.1,71.6,0.0,Monsoon
2022-08-13,26.3,29.7,28.0,71.7,5.0,Monsoon
2022-08-14,25.4,30.9,28.1,84.7,0.0,Monsoon
2022-08-15,26.9,30.1,28.5,94.4,124.2,Monsoon
2022-08-16,22.1,34.3,28.2,91.4,0.0,Monsoon
2022-08-17,24.5,33.3,28.9,88.6,0.0,Monsoon
2022-08-18,22.2,29.2,25.7,71.7,0.1,Monsoon
2022-08-19,23.4,31.6,27.5,87.7,0.0,Monsoon
2022-08-20,24.5,30.8,27.7,76.2,0.0,Monsoon
2022-08-21,26.7,33.5,30.1,92.9,100.8,Monsoon
2022-08-22,23.7,29.3,26.5,78.7,15.0,Monsoon
2022-08-23,26.6,32.5,29.5,90.0,0.0,Monsoon
2022-08-24,22.2,34.7,28.4,88.6,128.1,Monsoon
2022-08-25,26.7,30.7,28.7,79.3,90.2,Monsoon
2022-08-26,26.8,34.1,30.5,88.8,0.0,Monsoon
2022-08-27,23.0,31.3,27.1,70.6,130.4,Monsoon
2022-08-28,23.4,32.5,27.9,81.1,9.2,Monsoon
2022-08-29,24.4,32.2,28.3,83.5,0.0,Monsoon
2022-08-30,26.6,31.9,29.2,93.2,0.0,Monsoon
2022-08-31,27.3,34.8,31.0,82.2,0.0,Monsoon
2022-09-01,27.8,30.8,29.3,81.1,0.0,Monsoon
2022-09-02,22.9,32.0,27.5,76.6,65.3,Monsoon
2022-09-03,22.0,33.2,27.6,90.6,0.0,Monsoon
2022-09-04,23.1,28.2,25.7,82.5,0.0,Monsoon
2022-09-05,24.2,28.4,26.3,71.9,0.0,Monsoon
2022-09-06,25.8,31.9,28.8,92.5,128.1,Monsoon
2022-09-07,24.5,32.1,28.3,91.9,0.0,Monsoon
2022-09-08,27.7,32.9,30.3,86.5,40.7,Monsoon
2022-09-09,25.9,31.7,28.8,80.3,10.8,Monsoon
2022-09-10,24.8,32.2,28.5,89.3,47.2,Monsoon
2022-09-11,22.7,32.2,27.4,83.5,112.7,Monsoon
2022-09-12,27.2,32.9,30.0,74.9,29.0,Monsoon
2022-09-13,27.2,34.1,30.6,90.0,121.0,Monsoon
2022-09-14,22.2,33.7,27.9,83.0,12.6,Monsoon
2022-09-15,24.2,30.0,27.1,83.2,0.0,Monsoon
2022-09-16,27.4,33.3,30.4,73.5,12.3,Monsoon
2022-09-17,25.5,28.9,27.2,88.8,0.0,Monsoon
2022-09-18,22.9,32.2,27.6,93.1,83.5,Monsoon
2022-09-19,22.6,31.7,27.1,87.6,24.6,Monsoon
2022-09-20,27.4,28.1,27.8,89.9,69.9,Monsoon
2022-09-21,22.2,34.8,28.5,93.6,144.7,Monsoon
2022-09-22,27.3,32.4,29.8,93.6,59.2,Monsoon
2022-09-23,23.6,31.2,27.4,79.4,49.2,Monsoon
2022-09-24,23.2,28.6,25.9,85.3,2.3,Monsoon
2022-09-25,27.1,28.6,27.9,85.1,48.1,Monsoon
2022-09-26,25.6,32.2,28.9,92.8,66.3,Monsoon
2022-09-27,27.4,31.8,29.6,82.5,44.5,Monsoon
2022-09-28,23.3,31.5,27.4,86.0,58.3,Monsoon
2022-09-29,27.4,31.6,29.5,85.4,104.4,Monsoon
2022-09-30,24.8,29.3,27.1,73.1,0.0,Monsoon
2022-10-01,24.3,30.9,27.6,55.6,19.7,Spring
2022-10-02,18.5,32.7,25.6,66.6,0.0,Spring
2022-10-03,22.6,30.2,26.4,63.8,0.0,Spring
2022-10-04,21.7,33.7,27.7,62.4,0.0,Spring
2022-10-05,18.4,29.1,23.8,71.1,0.0,Spring
2022-10-06,21.1,32.9,27.0,68.0,0.0,Spring
2022-10-07,21.8,34.9,28.3,64.6,0.0,Spring
2022-10-08,23.4,29.5,26.5,70.8,0.0,Spring
2022-10-09,25.0,30.8,27.9,61.9,1.0,Spring
2022-10-10,21.3,30.4,25.9,61.9,0.0,Spring
2022-10-11,23.5,33.4,28.5,62.2,16.2,Spring
2022-10-12,24.8,31.6,28.2,70.1,0.0,Spring
2022-10-13,20.6,31.5,26.1,62.1,0.0,Spring
2022-10-14,18.2,30.5,24.4,74.9,11.6,Spring
2022-10-15,20.9,31.4,26.2,69.7,0.0,Spring
2022-10-16,20.5,35.0,27.7,75.0,0.0,Spring
2022-10-17,21.1,30.4,25.7,65.0,0.0,Spring
2022-10-18,23.3,28.3,25.8,61.9,7.3,Spring
2022-10-19,22.7,32.3,27.5,72.0,0.0,Spring
2022-10-20,20.2,31.5,25.8,66.1,0.0,Spring
2022-10-21,19.2,34.5,26.8,65.1,0.0,Spring
2022-10-22,23.5,32.8,28.2,64.7,0.0,Spring
2022-10-23,22.0,31.4,26.7,60.5,8.3,Spring
2022-10-24,20.5,29.4,25.0,61.0,15.1,Spring
2022-10-25,18.8,29.8,24.3,65.9,0.0,Spring
2022-10-26,18.3,31.4,24.8,61.2,0.0,Spring
2022-10-27,19.5,33.8,26.6,55.5,0.0,Spring
2022-10-28,19.9,33.2,26.5,69.6,0.0,Spring
2022-10-29,18.3,32.2,25.3,69.8,0.0,Spring
2022-10-30,24.2,31.3,27.8,60.2,0.0,Spring
2022-10-31,19.0,30.4,24.7,70.6,8.5,Spring
2022-11-01,19.9,34.2,27.0,71.4,0.0,Spring
2022-11-02,18.9,32.2,25.5,66.8,0.0,Spring
2022-11-03,20.9,29.1,25.0,71.2,2.8,Spring
2022-11-04,23.7,32.4,28.1,62.3,0.0,Spring
2022-11-05,23.6,29.1,26.3,64.2,0.0,Spring
2022-11-06,24.2,31.2,27.7,69.0,0.0,Spring
2022-11-07,18.6,32.9,25.8,55.4,0.0,Spring
2022-11-08,18.3,32.8,25.6,69.4,0.0,Spring
2022-11-09,22.3,28.1,25.2,55.4,0.0,Spring
2022-11-10,24.6,29.4,27.0,73.9,0.0,Spring
2022-11-11,24.9,33.5,29.2,65.0,0.0,Spring
2022-11-12,23.0,33.4,28.2,61.8,0.0,Spring
2022-11-13,21.6,30.3,25.9,72.9,0.0,Spring
2022-11-14,23.2,32.6,27.9,74.2,0.0,Spring
2022-11-15,18.3,33.1,25.7,74.3,0.0,Spring
2022-11-16,22.1,28.2,25.1,60.5,9.5,Spring
2022-11-17,23.9,29.4,26.6,68.0,5.5,Spring
2022-11-18,21.9,30.6,26.3,59.2,0.0,Spring
2022-11-19,24.9,35.0,30.0,64.3,0.0,Spring
2022-11-20,20.2,31.2,25.7,57.3,0.0,Spring
2022-11-21,20.9,29.5,25.2,62.2,0.0,Spring
2022-11-22,22.7,33.5,28.1,61.9,0.0,Spring
2022-11-23,23.9,29.2,26.5,73.5,0.0,Spring
2022-11-24,22.8,33.1,28.0,72.9,0.0,Spring
2022-11-25,19.9,32.3,26.1,66.5,0.0,Spring
2022-11-26,23.3,31.0,27.2,56.1,8.6,Spring
2022-11-27,20.4,28.8,24.6,70.1,0.0,Spring
2022-11-28,23.3,34.0,28.6,63.8,0.0,Spring
2022-11-29,18.5,28.7,23.6,55.3,0.0,Spring
2022-11-30,21.7,30.9,26.3,68.3,0.0,Spring
2022-12-01,15.9,26.3,21.1,59.3,0.0,Winter
2022-12-02,13.2,27.3,20.2,65.5,0.0,Winter
2022-12-03,17.6,28.0,22.8,55.6,0.0,Winter
2022-12-04,12.0,27.5,19.8,50.8,0.0,Winter
2022-12-05,17.9,23.4,20.6,68.0,0.0,Winter
2022-12-06,13.8,27.9,20.8,52.2,0.0,Winter
2022-12-07,16.0,27.5,21.7,61.2,0.0,Winter
2022-12-08,11.0,29.8,20.4,64.7,0.0,Winter
2022-12-09,13.5,24.0,18.7,63.6,3.2,Winter
2022-12-10,15.0,22.7,18.9,66.8,0.0,Winter
2022-12-11,10.9,25.1,18.0,62.8,1.1,Winter
2022-12-12,17.3,24.8,21.0,51.1,0.0,Winter
2022-12-13,15.2,26.5,20.8,57.1,0.0,Winter
2022-12-14,12.9,26.1,19.5,53.3,0.0,Winter
2022-12-15,14.9,24.6,19.7,63.7,0.0,Winter
2022-12-16,15.1,24.5,19.8,58.0,2.8,Winter
2022-12-17,13.7,22.5,18.1,55.8,0.0,Winter
2022-12-18,12.3,26.5,19.4,57.5,0.0,Winter
2022-12-19,14.3,26.5,20.4,57.1,0.0,Winter
2022-12-20,12.2,29.0,20.6,52.2,0.0,Winter
2022-12-21,10.5,25.9,18.2,60.3,0.0,Winter
2022-12-22,17.7,25.3,21.5,52.6,1.5,Winter
2022-12-23,15.0,29.5,22.3,69.0,0.0,Winter
2022-12-24,11.9,23.2,17.5,53.9,0.0,Winter
2022-12-25,13.9,22.9,18.4,63.0,1.2,Winter
2022-12-26,11.3,27.0,19.1,53.6,0.0,Winter
2022-12-27,15.7,26.3,21.0,68.9,0.0,Winter
2022-12-28,14.7,26.9,20.8,55.2,3.0,Winter
2022-12-29,15.1,26.3,20.7,54.1,0.0,Winter
2022-12-30,17.5,26.0,21.8,53.7,0.0,Winter
2022-12-31,13.0,25.7,19.3,70.0,0.0,Winter
2023-01-01,13.9,27.6,20.8,60.7,0.0,Winter
2023-01-02,13.9,26.4,20.2,63.4,0.0,Winter
2023-01-03,13.6,24.0,18.8,58.9,2.6,Winter
2023-01-04,10.1,27.2,18.7,63.5,0.0,Winter
2023-01-05,17.0,23.7,20.4,59.8,0.0,Winter
2023-01-06,14.2,23.1,18.7,65.8,0.0,Winter
2023-01-07,11.6,24.1,17.8,64.4,0.0,Winter
2023-01-08,11.6,24.4,18.0,61.2,4.8,Winter
2023-01-09,12.4,27.9,20.1,63.0,0.0,Winter
2023-01-10,14.4,25.6,20.0,66.5,0.0,Winter
2023-01-11,12.9,25.9,19.4,69.5,0.0,Winter
2023-01-12,12.8,23.8,18.3,56.9,0.0,Winter
2023-01-13,16.6,22.3,19.5,59.0,0.0,Winter
2023-01-14,15.3,23.6,19.4,56.1,0.0,Winter
2023-01-15,15.2,25.4,20.3,67.0,0.0,Winter
2023-01-16,17.0,28.4,22.7,57.9,0.0,Winter
2023-01-17,15.3,26.3,20.8,63.3,0.0,Winter
2023-01-18,13.6,23.6,18.6,60.8,0.0,Winter
2023-01-19,17.0,23.2,20.1,51.1,0.0,Winter
2023-01-20,10.6,28.6,19.6,62.3,0.0,Winter
2023-01-21,12.9,26.2,19.6,50.5,0.0,Winter
2023-01-22,12.8,23.5,18.2,57.7,0.0,Winter
2023-01-23,14.9,26.9,20.9,53.1,0.0,Winter
2023-01-24,17.9,29.3,23.6,62.5,0.0,Winter
2023-01-25,12.2,23.2,17.7,53.9,0.0,Winter
2023-01-26,12.8,26.8,19.8,67.2,0.0,Winter
2023-01-27,10.1,27.0,18.5,67.1,0.0,Winter
2023-01-28,16.0,26.7,21.3,62.9,0.0,Winter
2023-01-29,12.5,24.2,18.3,57.9,0.0,Winter
2023-01-30,15.4,23.9,19.7,68.8,1.2,Winter
2023-01-31,10.5,26.9,18.7,57.5,0.6,Winter
2023-02-01,10.1,24.2,17.1,59.7,0.0,Winter
2023-02-02,16.9,26.8,21.8,65.2,0.0,Winter
2023-02-03,16.3,23.6,20.0,69.6,0.0,Winter
2023-02-04,13.3,25.0,19.2,63.6,0.0,Winter
2023-02-05,17.3,24.1,20.7,51.4,0.0,Winter
2023-02-06,17.0,25.3,21.1,61.5,0.0,Winter
2023-02-07,14.1,22.6,18.4,64.5,3.8,Winter
2023-02-08,14.6,26.0,20.3,64.4,0.0,Winter
2023-02-09,10.3,27.7,19.0,51.2,0.0,Winter
2023-02-10,16.2,26.1,21.1,59.8,0.0,Winter
2023-02-11,14.1,25.0,19.6,56.6,0.0,Winter
2023-02-12,11.4,23.6,17.5,54.9,0.0,Winter
2023-02-13,12.8,23.5,18.1,67.5,1.6,Winter
2023-02-14,13.5,23.5,18.5,61.3,0.0,Winter
2023-02-15,16.3,29.2,22.7,66.7,0.0,Winter
2023-02-16,14.8,29.8,22.3,51.0,0.0,Winter
2023-02-17,12.9,24.4,18.6,61.1,0.0,Winter
2023-02-18,13.3,25.1,19.2,58.6,4.0,Winter
2023-02-19,12.0,27.0,19.5,63.9,0.0,Winter
2023-02-20,17.3,23.9,20.6,66.5,0.7,Winter
2023-02-21,11.9,28.6,20.2,60.1,0.0,Winter
2023-02-22,13.8,23.2,18.5,60.2,4.2,Winter
2023-02-23,12.9,28.8,20.9,55.5,0.0,Winter
2023-02-24,14.8,29.4,22.1,51.8,0.0,Winter
2023-02-25,15.0,23.9,19.5,55.8,0.0,Winter
2023-02-26,17.0,29.1,23.0,56.4,0.0,Winter
2023-02-27,14.0,23.3,18.6,58.3,0.0,Winter
2023-02-28,17.6,25.3,21.5,64.9,0.0,Winter
2023-03-01,27.3,39.7,33.5,30.9,0.0,Summer
2023-03-02,25.4,42.9,34.2,36.0,0.0,Summer
2023-03-03,29.8,39.4,34.6,45.5,0.0,Summer
2023-03-04,29.9,43.1,36.5,37.1,0.0,Summer
2023-03-05,28.6,43.1,35.8,35.1,0.0,Summer
2023-03-06,26.9,38.9,32.9,34.1,0.0,Summer
2023-03-07,31.9,38.0,35.0,45.0,7.6,Summer
2023-03-08,25.5,39.4,32.4,38.8,0.0,Summer
2023-03-09,30.4,41.2,35.8,34.8,0.0,Summer
2023-03-10,28.1,36.5,32.3,45.5,3.0,Summer
2023-03-11,30.7,37.3,34.0,34.2,0.0,Summer
2023-03-12,25.6,35.8,30.7,31.4,0.0,Summer
2023-03-13,26.0,41.1,33.6,38.9,0.0,Summer
2023-03-14,27.2,42.7,35.0,41.8,0.0,Summer
2023-03-15,27.2,37.9,32.6,35.6,0.0,Summer
2023-03-16,29.3,35.2,32.3,46.5,3.7,Summer
2023-03-17,27.6,42.1,34.9,42.1,0.0,Summer
