Date,Medicine_ID,Medicine_Name,Category,Quantity_Sold,Price,Total_Amount,Day_of_Week,Is_Weekend,Month,Season_x,Year,Week_of_Year,Temperature_Min,Temperature_Max,Temperature_Avg,Humidity,Rainfall,Season_y,Sales_Lag_7,Sales_Lag_14,Sales_Lag_30,Rolling_Avg_7,Rolling_Avg_14,Rolling_Avg_30,Growth_Rate_7
2024-01-23,29,Atarax Syrup,Dermatological,29,22.41,649.89,Tuesday,False,1,Winter,2024,4,17.9,24.1,21.0,61.2,0.0,Winter,10.0,8.0,15.0,23.714285714285715,24.428571428571427,20.8,1.7272727272727273
2024-02-06,29,Atarax Syrup,Dermatological,4,22.41,89.64,Tuesday,False,2,Winter,2024,6,12.3,25.5,18.9,55.6,0.0,Winter,17.0,17.0,19.0,21.857142857142858,23.5,20.3,-0.7222222222222222
2024-02-15,29,Atarax Syrup,Dermatological,5,22.41,112.05,Thursday,False,2,Winter,2024,7,13.8,26.9,20.3,65.1,0.0,Winter,19.0,35.0,6.0,19.857142857142858,21.357142857142858,20.266666666666666,-0.7
2024-02-28,29,Atarax Syrup,Dermatological,7,22.41,156.87,Wednesday,False,2,Winter,2024,9,12.7,26.7,19.7,52.1,0.0,Winter,30.0,32.0,24.0,16.571428571428573,19.571428571428573,19.7,-0.7419354838709677
2024-03-20,29,Atarax Syrup,Dermatological,27,22.41,605.07,Wednesday,False,3,Summer,2024,12,26.0,41.3,33.6,40.1,0.0,Summer,39.0,30.0,34.0,14.857142857142858,19.357142857142858,19.466666666666665,-0.3
2024-04-18,29,Atarax Syrup,Dermatological,18,22.41,403.38,Thursday,False,4,Summer,2024,16,25.9,42.7,34.3,34.2,0.0,Summer,21.0,29.0,19.0,14.428571428571429,18.571428571428573,19.433333333333334,-0.13636363636363635
2024-06-05,29,Atarax Syrup,Dermatological,38,22.41,851.58,Wednesday,False,6,Monsoon,2024,23,25.7,28.2,27.0,70.2,0.0,Monsoon,11.0,23.0,13.0,18.285714285714285,19.642857142857142,20.266666666666666,2.25
2024-06-07,29,Atarax Syrup,Dermatological,18,22.41,403.38,Friday,False,6,Monsoon,2024,23,22.0,33.0,27.5,79.1,71.6,Monsoon,29.0,10.0,19.0,16.714285714285715,20.214285714285715,20.233333333333334,-0.36666666666666664
2024-06-17,29,Atarax Syrup,Dermatological,10,22.41,224.1,Monday,False,6,Monsoon,2024,25,24.6,34.1,29.4,81.9,94.0,Monsoon,4.0,17.0,21.0,17.571428571428573,19.714285714285715,19.866666666666667,1.2
2024-06-19,29,Atarax Syrup,Dermatological,29,22.41,649.89,Wednesday,False,6,Monsoon,2024,25,25.1,29.0,27.1,87.6,0.0,Monsoon,5.0,19.0,12.0,21.0,20.428571428571427,20.433333333333334,4.0
2024-06-24,29,Atarax Syrup,Dermatological,11,22.41,246.51,Monday,False,6,Monsoon,2024,26,24.4,31.8,28.1,94.7,56.3,Monsoon,7.0,30.0,1.0,21.571428571428573,19.071428571428573,20.766666666666666,0.5
2024-07-15,29,Atarax Syrup,Dermatological,13,22.41,291.33,Monday,False,7,Monsoon,2024,29,27.3,33.3,30.3,93.1,0.0,Monsoon,27.0,39.0,2.0,19.571428571428573,17.214285714285715,21.133333333333333,-0.5
2024-08-01,29,Atarax Syrup,Dermatological,40,22.41,896.4,Thursday,False,8,Monsoon,2024,31,27.8,30.2,29.0,90.8,0.0,Monsoon,18.0,21.0,21.0,22.714285714285715,18.571428571428573,21.766666666666666,1.1578947368421053
2024-08-05,29,Atarax Syrup,Dermatological,25,22.41,560.25,Monday,False,8,Monsoon,2024,32,22.3,31.4,26.8,75.9,76.1,Monsoon,38.0,11.0,17.0,20.857142857142858,19.571428571428573,22.033333333333335,-0.3333333333333333
2024-08-20,29,Atarax Syrup,Dermatological,11,22.41,246.51,Tuesday,False,8,Monsoon,2024,34,22.2,34.0,28.1,83.1,128.8,Monsoon,18.0,29.0,30.0,19.857142857142858,18.285714285714285,21.4,-0.3684210526315789
2024-09-13,29,Atarax Syrup,Dermatological,25,22.41,560.25,Friday,False,9,Monsoon,2024,37,27.0,33.9,30.5,91.5,108.4,Monsoon,10.0,4.0,36.0,22.0,19.785714285714285,21.033333333333335,1.3636363636363635
2024-09-19,29,Atarax Syrup,Dermatological,13,22.41,291.33,Thursday,False,9,Monsoon,2024,38,26.2,33.9,30.1,76.9,0.0,Monsoon,29.0,5.0,8.0,19.714285714285715,20.357142857142858,21.2,-0.5333333333333333
2024-09-27,29,Atarax Syrup,Dermatological,19,22.41,425.79,Friday,False,9,Monsoon,2024,39,25.1,28.6,26.8,82.2,0.0,Monsoon,11.0,7.0,17.0,20.857142857142858,21.214285714285715,21.266666666666666,0.6666666666666666
2024-10-03,29,Atarax Syrup,Dermatological,16,22.41,358.56,Thursday,False,10,Spring,2024,40,23.8,30.5,27.2,74.0,0.0,Spring,13.0,27.0,35.0,21.285714285714285,20.428571428571427,20.633333333333333,0.21428571428571427
2024-12-12,29,Atarax Syrup,Dermatological,26,22.41,582.66,Thursday,False,12,Winter,2024,50,13.3,29.0,21.1,57.6,0.0,Winter,40.0,18.0,32.0,19.285714285714285,21.0,20.433333333333334,-0.34146341463414637
2023-06-11,36,Arachitol 6L Injection,Supplement,7,422.47,2957.29,Sunday,True,6,Monsoon,2023,23,25.7,32.8,29.3,88.6,0.0,Monsoon,13.0,20.0,15.0,19.714285714285715,15.928571428571429,13.5,-0.42857142857142855
2023-06-21,36,Arachitol 6L Injection,Supplement,22,422.47,9294.34,Wednesday,False,6,Monsoon,2023,25,26.9,29.5,28.2,86.5,0.0,Monsoon,27.0,23.0,1.0,19.0,15.857142857142858,14.2,-0.17857142857142858
2023-06-27,36,Arachitol 6L Injection,Supplement,22,422.47,9294.34,Tuesday,False,6,Monsoon,2023,26,23.8,34.4,29.1,82.2,134.3,Monsoon,10.0,15.0,8.0,20.714285714285715,16.357142857142858,14.666666666666666,1.0909090909090908
2023-07-11,36,Arachitol 6L Injection,Supplement,29,422.47,12251.63,Tuesday,False,7,Monsoon,2023,28,26.0,31.8,28.9,78.1,0.8,Monsoon,24.0,10.0,13.0,21.428571428571427,17.714285714285715,15.2,0.2
2023-07-15,36,Arachitol 6L Injection,Supplement,4,422.47,1689.88,Saturday,True,7,Monsoon,2023,28,26.0,34.5,30.3,72.4,0.0,Monsoon,14.0,4.0,3.0,20.0,17.714285714285715,15.233333333333333,-0.6666666666666666
2023-08-03,36,Arachitol 6L Injection,Supplement,15,422.47,6337.05,Thursday,False,8,Monsoon,2023,31,27.1,29.5,28.3,80.6,17.5,Monsoon,27.0,11.0,7.0,18.285714285714285,18.0,15.5,-0.42857142857142855
2023-09-01,36,Arachitol 6L Injection,Supplement,2,422.47,844.94,Friday,False,9,Monsoon,2023,35,25.8,31.7,28.8,85.1,129.1,Monsoon,29.0,9.0,14.0,14.428571428571429,17.5,15.1,-0.9
2023-09-17,36,Arachitol 6L Injection,Supplement,10,422.47,4224.7,Sunday,True,9,Monsoon,2023,37,24.5,32.6,28.5,94.4,36.5,Monsoon,7.0,13.0,9.0,14.857142857142858,17.285714285714285,15.133333333333333,0.375
2023-10-08,36,Arachitol 6L Injection,Supplement,16,422.47,6759.52,Sunday,True,10,Spring,2023,40,21.4,31.4,26.4,55.7,0.0,Spring,22.0,27.0,10.0,14.0,16.5,15.333333333333334,-0.2608695652173913
2023-10-16,36,Arachitol 6L Injection,Supplement,15,422.47,6337.05,Monday,False,10,Spring,2023,42,22.1,32.0,27.1,61.4,0.0,Spring,22.0,10.0,3.0,13.0,16.857142857142858,15.733333333333333,-0.30434782608695654
2023-10-24,36,Arachitol 6L Injection,Supplement,27,422.47,11406.69,Tuesday,False,10,Spring,2023,43,19.5,30.7,25.1,66.1,0.0,Spring,29.0,24.0,15.0,12.714285714285714,17.071428571428573,16.133333333333333,-0.06666666666666667
2023-10-26,36,Arachitol 6L Injection,Supplement,34,422.47,14363.98,Thursday,False,10,Spring,2023,43,19.6,29.3,24.4,62.5,0.0,Spring,4.0,14.0,12.0,17.0,18.5,16.866666666666667,6.0
2023-11-09,36,Arachitol 6L Injection,Supplement,3,422.47,1267.41,Thursday,False,11,Spring,2023,45,18.6,34.3,26.4,55.5,0.0,Spring,15.0,27.0,16.0,15.285714285714286,16.785714285714285,16.433333333333334,-0.75
2023-11-11,36,Arachitol 6L Injection,Supplement,15,422.47,6337.05,Saturday,True,11,Spring,2023,45,20.0,31.2,25.6,65.6,0.0,Spring,2.0,29.0,19.0,17.142857142857142,15.785714285714286,16.3,4.333333333333333
2023-11-27,36,Arachitol 6L Injection,Supplement,22,422.47,9294.34,Monday,False,11,Spring,2023,48,21.8,34.4,28.1,73.5,9.4,Spring,10.0,7.0,2.0,18.857142857142858,16.857142857142858,16.966666666666665,1.0909090909090908
2023-12-18,36,Arachitol 6L Injection,Supplement,17,422.47,7181.99,Monday,False,12,Winter,2023,51,13.5,28.2,20.8,58.2,0.2,Winter,16.0,22.0,30.0,19.0,16.5,16.533333333333335,0.058823529411764705
2024-01-09,36,Arachitol 6L Injection,Supplement,11,422.47,4647.17,Tuesday,False,1,Winter,2024,2,16.2,23.1,19.7,54.8,0.0,Winter,15.0,22.0,20.0,18.428571428571427,15.714285714285714,16.233333333333334,-0.25
2024-01-17,36,Arachitol 6L Injection,Supplement,20,422.47,8449.4,Wednesday,False,1,Winter,2024,3,15.9,26.5,21.2,66.9,0.0,Winter,27.0,29.0,23.0,17.428571428571427,15.071428571428571,16.133333333333333,-0.25
2024-02-01,36,Arachitol 6L Injection,Supplement,7,422.47,2957.29,Thursday,False,2,Winter,2024,5,12.9,25.7,19.3,64.8,0.0,Winter,34.0,4.0,15.0,13.571428571428571,15.285714285714286,15.866666666666667,-0.7714285714285715
2024-02-18,36,Arachitol 6L Injection,Supplement,7,422.47,2957.29,Sunday,True,2,Winter,2024,7,15.3,23.4,19.3,52.5,0.0,Winter,3.0,15.0,10.0,14.142857142857142,14.714285714285714,15.766666666666667,1.0
2024-04-06,36,Arachitol 6L Injection,Supplement,8,422.47,3379.76,Saturday,True,4,Summer,2024,14,29.4,36.6,33.0,32.3,0.0,Summer,15.0,2.0,4.0,13.142857142857142,15.142857142857142,15.9,-0.4375
2024-06-27,36,Arachitol 6L Injection,Supplement,21,422.47,8871.87,Thursday,False,6,Monsoon,2024,26,24.6,33.4,29.0,93.3,109.8,Monsoon,22.0,10.0,11.0,13.0,15.928571428571429,16.233333333333334,-0.043478260869565216
2024-06-30,36,Arachitol 6L Injection,Supplement,21,422.47,8871.87,Sunday,True,6,Monsoon,2024,26,26.5,32.3,29.4,80.8,30.1,Monsoon,17.0,16.0,9.0,13.571428571428571,16.285714285714285,16.633333333333333,0.2222222222222222
2024-07-24,36,Arachitol 6L Injection,Supplement,20,422.47,8449.4,Wednesday,False,7,Monsoon,2024,30,22.8,33.7,28.3,79.2,93.3,Monsoon,11.0,15.0,13.0,14.857142857142858,16.642857142857142,16.866666666666667,0.75
2024-09-25,36,Arachitol 6L Injection,Supplement,26,422.47,10984.22,Wednesday,False,9,Monsoon,2024,39,23.6,30.1,26.9,72.2,115.4,Monsoon,20.0,27.0,27.0,15.714285714285714,16.571428571428573,16.833333333333332,0.2857142857142857
2024-10-19,36,Arachitol 6L Injection,Supplement,4,422.47,1689.88,Saturday,True,10,Spring,2024,42,22.9,33.1,28.0,57.1,0.0,Spring,7.0,34.0,10.0,15.285714285714286,14.428571428571429,16.633333333333333,-0.375
2024-10-25,36,Arachitol 6L Injection,Supplement,11,422.47,4647.17,Friday,False,10,Spring,2024,43,22.7,32.5,27.6,63.6,0.0,Spring,7.0,3.0,24.0,15.857142857142858,15.0,16.2,0.5
2024-10-30,36,Arachitol 6L Injection,Supplement,27,422.47,11406.69,Wednesday,False,10,Spring,2024,44,19.0,33.6,26.3,64.8,0.0,Spring,8.0,15.0,14.0,18.571428571428573,15.857142857142858,16.633333333333333,2.111111111111111
2024-11-21,36,Arachitol 6L Injection,Supplement,25,422.47,10561.75,Thursday,False,11,Spring,2024,47,22.5,28.4,25.4,70.0,0.0,Spring,21.0,22.0,27.0,19.142857142857142,16.071428571428573,16.566666666666666,0.18181818181818182
2024-11-22,36,Arachitol 6L Injection,Supplement,9,422.47,3802.23,Friday,False,11,Spring,2024,47,22.5,28.5,25.5,65.2,0.0,Spring,21.0,17.0,29.0,17.428571428571427,15.5,15.9,-0.5454545454545454
2024-11-26,36,Arachitol 6L Injection,Supplement,10,422.47,4224.7,Tuesday,False,11,Spring,2024,48,23.0,30.8,26.9,55.5,11.1,Spring,20.0,11.0,7.0,16.0,15.428571428571429,16.0,-0.47619047619047616
2024-12-07,36,Arachitol 6L Injection,Supplement,24,422.47,10139.28,Saturday,True,12,Winter,2024,49,10.5,25.7,18.1,59.3,0.0,Winter,26.0,20.0,22.0,15.714285714285714,15.714285714285714,16.066666666666666,-0.07407407407407407
2024-12-14,36,Arachitol 6L Injection,Supplement,11,422.47,4647.17,Saturday,True,12,Winter,2024,50,13.1,25.6,19.4,68.7,0.0,Winter,4.0,7.0,22.0,16.714285714285715,16.0,15.7,1.4
2023-08-01,87,Add Tears Lubricant Eye Drop,Ophthalmic,19,208.78,3966.82,Tuesday,False,8,Monsoon,2023,31,26.7,31.5,29.1,92.7,91.8,Monsoon,14.0,7.0,10.0,16.0,15.071428571428571,14.9,0.3333333333333333
2023-08-12,87,Add Tears Lubricant Eye Drop,Ophthalmic,13,208.78,2714.14,Saturday,True,8,Monsoon,2023,32,26.5,30.2,28.4,89.0,0.0,Monsoon,28.0,29.0,1.0,13.857142857142858,13.928571428571429,15.3,-0.5172413793103449
2023-10-26,87,Add Tears Lubricant Eye Drop,Ophthalmic,18,208.78,3758.04,Thursday,False,10,Spring,2023,43,19.6,29.3,24.4,62.5,0.0,Spring,23.0,8.0,14.0,13.142857142857142,14.642857142857142,15.433333333333334,-0.20833333333333334
2023-11-17,87,Add Tears Lubricant Eye Drop,Ophthalmic,14,208.78,2922.92,Friday,False,11,Spring,2023,46,23.3,29.7,26.5,68.9,0.0,Spring,13.0,9.0,23.0,13.285714285714286,15.0,15.133333333333333,0.07142857142857142
2023-12-15,87,Add Tears Lubricant Eye Drop,Ophthalmic,16,208.78,3340.48,Friday,False,12,Winter,2023,50,12.2,25.0,18.6,53.0,0.3,Winter,15.0,5.0,34.0,13.428571428571429,15.785714285714286,14.533333333333333,0.0625
2023-12-21,87,Add Tears Lubricant Eye Drop,Ophthalmic,21,208.78,4384.38,Thursday,False,12,Winter,2023,51,17.2,29.9,23.6,69.6,0.0,Winter,1.0,12.0,31.0,16.285714285714285,16.428571428571427,14.2,10.0
2024-01-18,87,Add Tears Lubricant Eye Drop,Ophthalmic,19,208.78,3966.82,Thursday,False,1,Winter,2024,3,15.3,28.3,21.8,58.1,0.0,Winter,13.0,22.0,15.0,17.142857142857142,16.214285714285715,14.333333333333334,0.42857142857142855
2024-01-29,87,Add Tears Lubricant Eye Drop,Ophthalmic,22,208.78,4593.16,Monday,False,1,Winter,2024,5,17.1,25.4,21.2,62.6,0.0,Winter,19.0,14.0,18.0,17.571428571428573,16.785714285714285,14.466666666666667,0.15
2024-02-27,87,Add Tears Lubricant Eye Drop,Ophthalmic,29,208.78,6054.62,Tuesday,False,2,Winter,2024,9,12.4,22.1,17.2,54.4,4.4,Winter,13.0,28.0,11.0,19.857142857142858,16.857142857142858,15.066666666666666,1.1428571428571428
2024-02-28,87,Add Tears Lubricant Eye Drop,Ophthalmic,28,208.78,5845.84,Wednesday,False,2,Winter,2024,9,12.7,26.7,19.7,52.1,0.0,Winter,18.0,23.0,28.0,21.285714285714285,17.214285714285715,15.066666666666666,0.5263157894736842
2024-03-02,87,Add Tears Lubricant Eye Drop,Ophthalmic,7,208.78,1461.46,Saturday,True,3,Summer,2024,9,28.6,36.3,32.5,41.4,0.0,Summer,14.0,13.0,3.0,20.285714285714285,16.785714285714285,15.2,-0.4666666666666667
2024-03-06,87,Add Tears Lubricant Eye Drop,Ophthalmic,6,208.78,1252.68,Wednesday,False,3,Summer,2024,10,31.7,35.3,33.5,49.4,0.0,Summer,16.0,15.0,3.0,18.857142857142858,16.142857142857142,15.3,-0.5882352941176471
2024-04-07,87,Add Tears Lubricant Eye Drop,Ophthalmic,9,208.78,1879.02,Sunday,True,4,Summer,2024,14,32.0,39.9,35.9,47.4,0.0,Summer,21.0,1.0,16.0,17.142857142857142,16.714285714285715,15.066666666666666,-0.5454545454545454
2024-04-11,87,Add Tears Lubricant Eye Drop,Ophthalmic,27,208.78,5637.06,Thursday,False,4,Summer,2024,15,26.9,42.0,34.4,40.5,0.0,Summer,19.0,13.0,7.0,18.285714285714285,17.714285714285715,15.733333333333333,0.4
2024-05-14,87,Add Tears Lubricant Eye Drop,Ophthalmic,33,208.78,6889.74,Tuesday,False,5,Summer,2024,20,27.7,39.2,33.4,47.7,0.0,Summer,22.0,19.0,17.0,19.857142857142858,18.714285714285715,16.266666666666666,0.4782608695652174
2024-05-20,87,Add Tears Lubricant Eye Drop,Ophthalmic,11,208.78,2296.58,Monday,False,5,Summer,2024,21,25.4,41.4,33.4,47.8,0.0,Summer,29.0,13.0,8.0,17.285714285714285,18.571428571428573,16.366666666666667,-0.6
2024-05-21,87,Add Tears Lubricant Eye Drop,Ophthalmic,13,208.78,2714.14,Tuesday,False,5,Summer,2024,21,27.0,41.1,34.0,49.5,0.0,Summer,28.0,18.0,7.0,15.142857142857142,18.214285714285715,16.566666666666666,-0.5172413793103449
2024-05-25,87,Add Tears Lubricant Eye Drop,Ophthalmic,8,208.78,1670.24,Saturday,True,5,Summer,2024,21,28.6,41.3,35.0,39.9,0.0,Summer,7.0,14.0,29.0,15.285714285714286,17.785714285714285,15.866666666666667,0.125
2024-06-29,87,Add Tears Lubricant Eye Drop,Ophthalmic,5,208.78,1043.9,Saturday,True,6,Monsoon,2024,26,25.3,31.7,28.5,89.2,96.1,Monsoon,6.0,16.0,8.0,15.142857142857142,17.0,15.766666666666667,-0.14285714285714285
2024-07-08,87,Add Tears Lubricant Eye Drop,Ophthalmic,34,208.78,7098.52,Monday,False,7,Monsoon,2024,28,24.2,34.9,29.5,81.8,52.7,Monsoon,9.0,21.0,9.0,18.714285714285715,17.928571428571427,16.6,2.5
2024-07-15,87,Add Tears Lubricant Eye Drop,Ophthalmic,32,208.78,6680.96,Monday,False,7,Monsoon,2024,29,27.3,33.3,30.3,93.1,0.0,Monsoon,27.0,19.0,5.0,19.428571428571427,18.857142857142858,17.5,0.17857142857142858
2024-08-14,87,Add Tears Lubricant Eye Drop,Ophthalmic,20,208.78,4175.6,Wednesday,False,8,Monsoon,2024,33,24.6,33.6,29.1,70.5,0.0,Monsoon,33.0,22.0,12.0,17.571428571428573,18.714285714285715,17.766666666666666,-0.38235294117647056
2024-08-27,87,Add Tears Lubricant Eye Drop,Ophthalmic,12,208.78,2505.36,Tuesday,False,8,Monsoon,2024,35,24.1,34.8,29.5,70.5,0.0,Monsoon,11.0,29.0,22.0,17.714285714285715,17.5,17.433333333333334,0.08333333333333333
2024-09-02,87,Add Tears Lubricant Eye Drop,Ophthalmic,30,208.78,6263.4,Monday,False,9,Monsoon,2024,36,25.0,28.6,26.8,73.2,29.7,Monsoon,13.0,28.0,14.0,20.142857142857142,17.642857142857142,17.966666666666665,1.2142857142857142
2024-09-09,87,Add Tears Lubricant Eye Drop,Ophthalmic,30,208.78,6263.4,Monday,False,9,Monsoon,2024,37,26.7,31.9,29.3,82.8,92.6,Monsoon,8.0,7.0,28.0,23.285714285714285,19.285714285714285,18.033333333333335,2.4444444444444446
2024-09-12,87,Add Tears Lubricant Eye Drop,Ophthalmic,21,208.78,4384.38,Thursday,False,9,Monsoon,2024,37,23.1,28.8,26.0,71.0,99.4,Monsoon,5.0,6.0,23.0,25.571428571428573,20.357142857142858,17.966666666666665,2.6666666666666665
2024-09-16,87,Add Tears Lubricant Eye Drop,Ophthalmic,17,208.78,3549.26,Monday,False,9,Monsoon,2024,38,25.9,31.0,28.4,83.6,83.6,Monsoon,34.0,9.0,13.0,23.142857142857142,20.928571428571427,18.1,-0.4857142857142857
2024-10-12,87,Add Tears Lubricant Eye Drop,Ophthalmic,17,208.78,3549.26,Saturday,True,10,Spring,2024,41,18.8,34.6,26.7,68.9,0.0,Spring,32.0,27.0,15.0,21.0,20.214285714285715,18.166666666666668,-0.45454545454545453
2024-10-23,87,Add Tears Lubricant Eye Drop,Ophthalmic,18,208.78,3758.04,Wednesday,False,10,Spring,2024,43,22.1,34.6,28.3,68.8,0.0,Spring,20.0,33.0,1.0,20.714285714285715,19.142857142857142,18.733333333333334,-0.09523809523809523
2024-11-09,87,Add Tears Lubricant Eye Drop,Ophthalmic,9,208.78,1879.02,Saturday,True,11,Spring,2024,45,22.1,29.1,25.6,58.7,0.0,Spring,12.0,11.0,13.0,20.285714285714285,19.0,18.6,-0.23076923076923078
2024-11-14,87,Add Tears Lubricant Eye Drop,Ophthalmic,8,208.78,1670.24,Thursday,False,11,Spring,2024,46,18.1,30.8,24.4,68.0,4.9,Spring,30.0,13.0,19.0,17.142857142857142,18.642857142857142,18.233333333333334,-0.7096774193548387
2023-09-23,120,A-Ret 0.1% Gel,Other,3,115.84,347.52,Saturday,True,9,Monsoon,2023,38,25.5,30.2,27.9,86.7,86.0,Monsoon,12.0,6.0,19.0,11.428571428571429,12.428571428571429,15.233333333333333,-0.6923076923076923
2023-10-02,120,A-Ret 0.1% Gel,Other,12,115.84,1390.08,Monday,False,10,Spring,2023,40,23.0,28.2,25.6,72.9,12.6,Spring,9.0,19.0,13.0,11.857142857142858,11.928571428571429,15.2,0.3
2023-10-07,120,A-Ret 0.1% Gel,Other,2,115.84,231.68,Saturday,True,10,Spring,2023,40,19.5,29.6,24.5,62.7,0.0,Spring,12.0,21.0,29.0,10.428571428571429,10.571428571428571,14.3,-0.7692307692307693
2023-10-20,120,A-Ret 0.1% Gel,Other,17,115.84,1969.28,Friday,False,10,Spring,2023,42,22.5,29.1,25.8,71.3,0.0,Spring,28.0,9.0,25.0,8.857142857142858,11.142857142857142,14.033333333333333,-0.3793103448275862
2023-12-18,120,A-Ret 0.1% Gel,Other,15,115.84,1737.6,Monday,False,12,Winter,2023,51,13.5,28.2,20.8,58.2,0.2,Winter,12.0,1.0,5.0,9.285714285714286,12.142857142857142,14.366666666666667,0.23076923076923078
2023-12-19,120,A-Ret 0.1% Gel,Other,27,115.84,3127.68,Tuesday,False,12,Winter,2023,51,13.7,25.8,19.8,67.1,0.0,Winter,12.0,17.0,18.0,11.428571428571429,12.857142857142858,14.666666666666666,1.1538461538461537
2023-12-21,120,A-Ret 0.1% Gel,Other,28,115.84,3243.52,Thursday,False,12,Winter,2023,51,17.2,29.9,23.6,69.6,0.0,Winter,4.0,15.0,26.0,14.857142857142858,13.785714285714286,14.733333333333333,4.8
2023-12-27,120,A-Ret 0.1% Gel,Other,24,115.84,2780.16,Wednesday,False,12,Winter,2023,52,14.1,24.2,19.1,55.3,0.0,Winter,3.0,12.0,17.0,17.857142857142858,14.642857142857142,14.966666666666667,5.25
2024-01-11,120,A-Ret 0.1% Gel,Other,21,115.84,2432.64,Thursday,False,1,Winter,2024,2,15.5,23.8,19.7,55.4,0.0,Winter,12.0,9.0,5.0,19.142857142857142,15.5,15.5,0.6923076923076923
2024-01-20,120,A-Ret 0.1% Gel,Other,24,115.84,2780.16,Saturday,True,1,Winter,2024,3,15.8,28.5,22.1,54.2,0.1,Winter,2.0,12.0,30.0,22.285714285714285,16.357142857142858,15.3,7.333333333333333
2024-02-01,120,A-Ret 0.1% Gel,Other,22,115.84,2548.48,Thursday,False,2,Winter,2024,5,12.9,25.7,19.3,64.8,0.0,Winter,17.0,28.0,12.0,23.0,15.928571428571429,15.633333333333333,0.2777777777777778
2024-02-19,120,A-Ret 0.1% Gel,Other,26,115.84,3011.84,Monday,False,2,Winter,2024,8,12.2,25.5,18.9,62.1,2.0,Winter,15.0,12.0,25.0,24.571428571428573,16.928571428571427,15.666666666666666,0.6875
2024-03-11,120,A-Ret 0.1% Gel,Other,5,115.84,579.2,Monday,False,3,Summer,2024,11,27.6,44.1,35.8,30.2,0.0,Summer,27.0,12.0,17.0,21.428571428571427,16.428571428571427,15.266666666666667,-0.7857142857142857
2024-03-28,120,A-Ret 0.1% Gel,Other,23,115.84,2664.32,Thursday,False,3,Summer,2024,13,29.1,44.8,36.9,43.8,0.0,Summer,28.0,4.0,25.0,20.714285714285715,17.785714285714285,15.2,-0.1724137931034483
2024-03-29,120,A-Ret 0.1% Gel,Other,21,115.84,2432.64,Friday,False,3,Summer,2024,13,31.3,44.2,37.8,32.6,0.0,Summer,24.0,3.0,23.0,20.285714285714285,19.071428571428573,15.133333333333333,-0.12
2024-04-16,120,A-Ret 0.1% Gel,Other,21,115.84,2432.64,Tuesday,False,4,Summer,2024,16,32.0,41.1,36.5,34.8,0.0,Summer,21.0,12.0,7.0,20.285714285714285,19.714285714285715,15.6,0.0
